"","year","income.elasticity","energy.final.demand","region"
"123",2075,0.405,"transportation","Canada"
"124",2080,0.4,"transportation","Canada"
"125",2085,0.4,"transportation","Canada"
"126",2090,0.4,"transportation","Canada"
"127",2095,0.4,"transportation","Canada"
"128",2100,0.4,"transportation","Canada"
"129",2025,1.25,"transportation","Central America and Caribbean"
"130",2030,1.25,"transportation","Central America and Caribbean"
"131",2035,1.25,"transportation","Central America and Caribbean"
"132",2040,1.25,"transportation","Central America and Caribbean"
"133",2045,1.25,"transportation","Central America and Caribbean"
"134",2050,1.25,"transportation","Central America and Caribbean"
"135",2055,1.25,"transportation","Central America and Caribbean"
"136",2060,1.178,"transportation","Central America and Caribbean"
"137",2065,1.056,"transportation","Central America and Caribbean"
"138",2070,0.922,"transportation","Central America and Caribbean"
"139",2075,0.826,"transportation","Central America and Caribbean"
"140",2080,0.761,"transportation","Central America and Caribbean"
"141",2085,0.698,"transportation","Central America and Caribbean"
"142",2090,0.679,"transportation","Central America and Caribbean"
"143",2095,0.659,"transportation","Central America and Caribbean"
"144",2100,0.638,"transportation","Central America and Caribbean"
"145",2025,1.25,"transportation","Central Asia"
"146",2030,1.25,"transportation","Central Asia"
"147",2035,1.25,"transportation","Central Asia"
"148",2040,1.25,"transportation","Central Asia"
"149",2045,1.25,"transportation","Central Asia"
"150",2050,1.25,"transportation","Central Asia"
"151",2055,1.25,"transportation","Central Asia"
"152",2060,1.25,"transportation","Central Asia"
"153",2065,1.25,"transportation","Central Asia"
"154",2070,1.25,"transportation","Central Asia"
"155",2075,1.25,"transportation","Central Asia"
"156",2080,1.209,"transportation","Central Asia"
"157",2085,1.13,"transportation","Central Asia"
"158",2090,1.044,"transportation","Central Asia"
"159",2095,0.951,"transportation","Central Asia"
"160",2100,0.855,"transportation","Central Asia"
"161",2025,1.25,"transportation","China"
"162",2030,1.25,"transportation","China"
"163",2035,1.137,"transportation","China"
"164",2040,1.026,"transportation","China"
"165",2045,0.91,"transportation","China"
"166",2050,0.83,"transportation","China"
"167",2055,0.778,"transportation","China"
"168",2060,0.719,"transportation","China"
"169",2065,0.689,"transportation","China"
"170",2070,0.673,"transportation","China"
"171",2075,0.659,"transportation","China"
"172",2080,0.644,"transportation","China"
"173",2085,0.629,"transportation","China"
"174",2090,0.614,"transportation","China"
"175",2095,0.598,"transportation","China"
"176",2100,0.583,"transportation","China"
"177",2025,1.217,"transportation","EU-12"
"178",2030,1.078,"transportation","EU-12"
"179",2035,0.955,"transportation","EU-12"
"180",2040,0.854,"transportation","EU-12"
