"region","supplysector","tranSubsector","year","sce","base.service"
"Africa_Northern","trn_pass_road_urban","Bus",1975,"CORE",41542.2685053825
"Africa_Northern","trn_pass_road_urban","Bus",1990,"CORE",131996.183090938
"Africa_Northern","trn_pass_road_urban","Bus",2005,"CORE",236168.050997569
"Africa_Northern","trn_pass_road_urban","Bus",2010,"CORE",336286.433998418
"Africa_Northern","trn_pass_road_urban","Bus",2015,"CORE",415188.310520575
"Africa_Northern","trn_pass_road_urban","Bus",2021,"CORE",422073.689162058
"Africa_Northern","trn_pass_road_LDV_urban","2W and 3W",1975,"CORE",3604.62331258861
"Africa_Northern","trn_pass_road_LDV_urban","2W and 3W",1990,"CORE",11453.3677746529
"Africa_Northern","trn_pass_road_LDV_urban","2W and 3W",2005,"CORE",20168.3723152169
"Africa_Northern","trn_pass_road_LDV_urban","2W and 3W",2010,"CORE",29817.5096067353
"Africa_Northern","trn_pass_road_LDV_urban","2W and 3W",2015,"CORE",38412.4921478582
"Africa_Northern","trn_pass_road_LDV_urban","2W and 3W",2021,"CORE",40657.7087168858
"Africa_Northern","trn_pass_road_LDV_4W_urban","Car",1975,"CORE",13406.9018991351
"Africa_Northern","trn_pass_road_LDV_4W_urban","Car",1990,"CORE",42598.985186988
"Africa_Northern","trn_pass_road_LDV_4W_urban","Car",2005,"CORE",76211.7201993379
"Africa_Northern","trn_pass_road_LDV_4W_urban","Car",2010,"CORE",109930.7208573
"Africa_Northern","trn_pass_road_LDV_4W_urban","Car",2015,"CORE",138190.870831898
"Africa_Northern","trn_pass_road_LDV_4W_urban","Car",2021,"CORE",142901.060023653
"Africa_Northern","trn_pass_road_LDV_4W_urban","Large Car and Truck",1975,"CORE",5947.23205357621
"Africa_Northern","trn_pass_road_LDV_4W_urban","Large Car and Truck",1990,"CORE",18896.7006998997
"Africa_Northern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2005,"CORE",33807.1431451089
"Africa_Northern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2010,"CORE",49964.0519854007
"Africa_Northern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2015,"CORE",64122.6878810141
"Africa_Northern","trn_pass_road_LDV_4W_urban","Large Car and Truck",2021,"CORE",68309.22241272
"Africa_Northern","trn_pass_road_LDV_4W_urban","Mini Car",1975,"CORE",6965.69896502097
"Africa_Northern","trn_pass_road_LDV_4W_urban","Mini Car",1990,"CORE",22132.7591196669
"Africa_Northern","trn_pass_road_LDV_4W_urban","Mini Car",2005,"CORE",39596.6821551178
"Africa_Northern","trn_pass_road_LDV_4W_urban","Mini Car",2010,"CORE",57115.6484772222
"Africa_Northern","trn_pass_road_LDV_4W_urban","Mini Car",2015,"CORE",71798.3060865122
"Africa_Northern","trn_pass_road_LDV_4W_urban","Mini Car",2021,"CORE",74245.3934040054
"Africa_Southern","trn_pass_urban","Cycle",1975,"CORE",14167
"Africa_Southern","trn_pass_urban","Cycle",1990,"CORE",22626
